SYMBOL,source,source_id,module,component
ABI2,ORGDB_GOALL,GO:0006914,Autophagy,GO
ABI2,ORGDB_GOALL,GO:0000422,Autophagy,GO
ABI2,ORGDB_GOALL,GO:0000423,Autophagy,GO
ABI2,ORGDB_GOALL,GO:0016236,Autophagy,GO
ABL1,ORGDB_GOALL,GO:0006914,Autophagy,GO
ABL1,ORGDB_GOALL,GO:0010506,Autophagy,GO
ABL2,ORGDB_GOALL,GO:0006914,Autophagy,GO
ABL2,ORGDB_GOALL,GO:0010506,Autophagy,GO
ACBD5,ORGDB_GOALL,GO:0006914,Autophagy,GO
ACBD5,ORGDB_GOALL,GO:0000425,Autophagy,GO
ACBD5,ORGDB_GOALL,GO:0016236,Autophagy,GO
ACBD5,ORGDB_GOALL,GO:0030242,Autophagy,GO
ACER2,ORGDB_GOALL,GO:0006914,Autophagy,GO
ACER2,ORGDB_GOALL,GO:0010506,Autophagy,GO
ADCY10,ORGDB_GOALL,GO:0006914,Autophagy,GO
ADCY10,ORGDB_GOALL,GO:0000422,Autophagy,GO
ADCY10,ORGDB_GOALL,GO:0000423,Autophagy,GO
ADCY10,ORGDB_GOALL,GO:0010506,Autophagy,GO
ADCY10,ORGDB_GOALL,GO:0016236,Autophagy,GO
ADCY10,ORGDB_GOALL,GO:0016241,Autophagy,GO
ADCY10,ORGDB_GOALL,GO:1901524,Autophagy,GO
ADCY10,ORGDB_GOALL,GO:1903146,Autophagy,GO
ADRA1A,ORGDB_GOALL,GO:0006914,Autophagy,GO
ADRA1A,ORGDB_GOALL,GO:0010506,Autophagy,GO
ADRA1A,ORGDB_GOALL,GO:0010507,Autophagy,GO
ADRB2,ORGDB_GOALL,GO:0006914,Autophagy,GO
ADRB2,ORGDB_GOALL,GO:0010506,Autophagy,GO
ADRB2,ORGDB_GOALL,GO:0010508,Autophagy,GO
ADRB2,ORGDB_GOALL,GO:0016236,Autophagy,GO
ADRB2,ORGDB_GOALL,GO:0016239,Autophagy,GO
ADRB2,ORGDB_GOALL,GO:0016241,Autophagy,GO
ADRB2,ORGDB_GOALL,GO:0061724,Autophagy,GO
ADRB2,ORGDB_GOALL,GO:0097352,Autophagy,GO
ADRB2,ORGDB_GOALL,GO:1901096,Autophagy,GO
ADRB2,ORGDB_GOALL,GO:1901098,Autophagy,GO
ADRB2,ORGDB_GOALL,GO:1904502,Autophagy,GO
ADRB2,ORGDB_GOALL,GO:1904504,Autophagy,GO
AFG2B,ORGDB_GOALL,GO:0006914,Autophagy,GO
AFG2B,ORGDB_GOALL,GO:0016236,Autophagy,GO
AFG2B,ORGDB_GOALL,GO:0097352,Autophagy,GO
AKT1,ORGDB_GOALL,GO:0006914,Autophagy,GO
AKT1,ORGDB_GOALL,GO:0010506,Autophagy,GO
AKT1,ORGDB_GOALL,GO:0010507,Autophagy,GO
AKT1,ORGDB_GOALL,GO:0016236,Autophagy,GO
AKT1,ORGDB_GOALL,GO:0016241,Autophagy,GO
AKT1,ORGDB_GOALL,GO:0016242,Autophagy,GO
AMBRA1,ORGDB_GOALL,GO:0006914,Autophagy,GO
AMBRA1,ORGDB_GOALL,GO:0000045,Autophagy,GO
AMBRA1,ORGDB_GOALL,GO:0000422,Autophagy,GO
AMBRA1,ORGDB_GOALL,GO:0000423,Autophagy,GO
AMBRA1,ORGDB_GOALL,GO:0010506,Autophagy,GO
AMBRA1,ORGDB_GOALL,GO:0010508,Autophagy,GO
AMBRA1,ORGDB_GOALL,GO:0016236,Autophagy,GO
AMBRA1,ORGDB_GOALL,GO:0016239,Autophagy,GO
AMBRA1,ORGDB_GOALL,GO:0016241,Autophagy,GO
AMBRA1,ORGDB_GOALL,GO:1901524,Autophagy,GO
AMBRA1,ORGDB_GOALL,GO:1901526,Autophagy,GO
AMBRA1,ORGDB_GOALL,GO:1903146,Autophagy,GO
AMBRA1,ORGDB_GOALL,GO:1903599,Autophagy,GO
AMBRA1,ORGDB_GOALL,GO:1905037,Autophagy,GO
AMBRA1,MSIGDB_C2_CP:REACTOME,REACTOME_AUTOPHAGY,Autophagy,REACTOME
ANXA7,ORGDB_GOALL,GO:0006914,Autophagy,GO
AP4M1,ORGDB_GOALL,GO:0006914,Autophagy,GO
AP4M1,ORGDB_GOALL,GO:0000045,Autophagy,GO
AP4M1,ORGDB_GOALL,GO:0016236,Autophagy,GO
AP4M1,ORGDB_GOALL,GO:1905037,Autophagy,GO
AP5Z1,ORGDB_GOALL,GO:0006914,Autophagy,GO
AP5Z1,ORGDB_GOALL,GO:0000045,Autophagy,GO
AP5Z1,ORGDB_GOALL,GO:0016236,Autophagy,GO
AP5Z1,ORGDB_GOALL,GO:1905037,Autophagy,GO
ARFIP2,ORGDB_GOALL,GO:0006914,Autophagy,GO
ARFIP2,ORGDB_GOALL,GO:0000045,Autophagy,GO
ARFIP2,ORGDB_GOALL,GO:0000422,Autophagy,GO
ARFIP2,ORGDB_GOALL,GO:0000423,Autophagy,GO
ARFIP2,ORGDB_GOALL,GO:0016236,Autophagy,GO
ARFIP2,ORGDB_GOALL,GO:0034497,Autophagy,GO
ARFIP2,ORGDB_GOALL,GO:1905037,Autophagy,GO
ARHGAP26,ORGDB_GOALL,GO:0006914,Autophagy,GO
ARHGAP26,ORGDB_GOALL,GO:0000422,Autophagy,GO
ARHGAP26,ORGDB_GOALL,GO:0000423,Autophagy,GO
ARHGAP26,ORGDB_GOALL,GO:0016236,Autophagy,GO
ARL13B,MSIGDB_C2_CP:REACTOME,REACTOME_AUTOPHAGY,Autophagy,REACTOME
ARL13B,MSIGDB_C2_CP:REACTOME,REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,Autophagy,REACTOME
ARL13B,MSIGDB_C2_CP:REACTOME,REACTOME_LATE_ENDOSOMAL_MICROAUTOPHAGY,Autophagy,REACTOME
ARL13B,MSIGDB_C2_CP:REACTOME,REACTOME_SELECTIVE_AUTOPHAGY,Autophagy,REACTOME
ARL8B,ORGDB_GOALL,GO:0006914,Autophagy,GO
ARL8B,ORGDB_GOALL,GO:0016236,Autophagy,GO
ARL8B,ORGDB_GOALL,GO:0061909,Autophagy,GO
ARMC3,ORGDB_GOALL,GO:0006914,Autophagy,GO
ARMC3,ORGDB_GOALL,GO:0016236,Autophagy,GO
ARMC3,ORGDB_GOALL,GO:0034517,Autophagy,GO
ARSB,ORGDB_GOALL,GO:0006914,Autophagy,GO
ASAH1,MSIGDB_C2_CP:REACTOME,REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_LYSOSOME_BIOGENESIS_AND_AUTOPHAGY,Autophagy,REACTOME
ATE1,ORGDB_GOALL,GO:0006914,Autophagy,GO
ATE1,ORGDB_GOALL,GO:0071211,Autophagy,GO
ATF6,ORGDB_GOALL,GO:0006914,Autophagy,GO
ATF6,ORGDB_GOALL,GO:0010506,Autophagy,GO
ATF6,ORGDB_GOALL,GO:0010508,Autophagy,GO
ATG10,ORGDB_GOALL,GO:0006914,Autophagy,GO
ATG10,ORGDB_GOALL,GO:0000045,Autophagy,GO
ATG10,ORGDB_GOALL,GO:0000422,Autophagy,GO
ATG10,ORGDB_GOALL,GO:0000423,Autophagy,GO
ATG10,ORGDB_GOALL,GO:0016236,Autophagy,GO
ATG10,ORGDB_GOALL,GO:1905037,Autophagy,GO
ATG10,MSIGDB_C2_CP:REACTOME,REACTOME_AUTOPHAGY,Autophagy,REACTOME
ATG101,ORGDB_GOALL,GO:0006914,Autophagy,GO
ATG101,ORGDB_GOALL,GO:0000045,Autophagy,GO
ATG101,ORGDB_GOALL,GO:0010506,Autophagy,GO
ATG101,ORGDB_GOALL,GO:0010508,Autophagy,GO
ATG101,ORGDB_GOALL,GO:0016236,Autophagy,GO
ATG101,ORGDB_GOALL,GO:1905037,Autophagy,GO
ATG101,MSIGDB_C2_CP:REACTOME,REACTOME_AUTOPHAGY,Autophagy,REACTOME
ATG12,ORGDB_GOALL,GO:0006914,Autophagy,GO
ATG12,ORGDB_GOALL,GO:0000045,Autophagy,GO
ATG12,ORGDB_GOALL,GO:0000422,Autophagy,GO
ATG12,ORGDB_GOALL,GO:0010506,Autophagy,GO
ATG12,ORGDB_GOALL,GO:0016236,Autophagy,GO
ATG12,ORGDB_GOALL,GO:0016237,Autophagy,GO
ATG12,ORGDB_GOALL,GO:0016241,Autophagy,GO
ATG12,ORGDB_GOALL,GO:0034727,Autophagy,GO
ATG12,ORGDB_GOALL,GO:0044804,Autophagy,GO
ATG12,ORGDB_GOALL,GO:0061723,Autophagy,GO
ATG12,ORGDB_GOALL,GO:0097352,Autophagy,GO
ATG12,ORGDB_GOALL,GO:1901096,Autophagy,GO
ATG12,ORGDB_GOALL,GO:1905037,Autophagy,GO
ATG12,MSIGDB_C2_CP:REACTOME,REACTOME_AUTOPHAGY,Autophagy,REACTOME
ATG12,MSIGDB_C2_CP:REACTOME,REACTOME_SELECTIVE_AUTOPHAGY,Autophagy,REACTOME
ATG13,ORGDB_GOALL,GO:0006914,Autophagy,GO
ATG13,ORGDB_GOALL,GO:0000045,Autophagy,GO
ATG13,ORGDB_GOALL,GO:0000422,Autophagy,GO
ATG13,ORGDB_GOALL,GO:0000423,Autophagy,GO
ATG13,ORGDB_GOALL,GO:0010506,Autophagy,GO
ATG13,ORGDB_GOALL,GO:0010508,Autophagy,GO
ATG13,ORGDB_GOALL,GO:0016236,Autophagy,GO
ATG13,ORGDB_GOALL,GO:0016237,Autophagy,GO
ATG13,ORGDB_GOALL,GO:0034497,Autophagy,GO
ATG13,ORGDB_GOALL,GO:0034727,Autophagy,GO
ATG13,ORGDB_GOALL,GO:0044804,Autophagy,GO
ATG13,ORGDB_GOALL,GO:1905037,Autophagy,GO
ATG13,MSIGDB_C2_CP:REACTOME,REACTOME_AUTOPHAGY,Autophagy,REACTOME
ATG14,ORGDB_GOALL,GO:0006914,Autophagy,GO
ATG14,ORGDB_GOALL,GO:0000045,Autophagy,GO
ATG14,ORGDB_GOALL,GO:0000422,Autophagy,GO
ATG14,ORGDB_GOALL,GO:0000423,Autophagy,GO
ATG14,ORGDB_GOALL,GO:0010506,Autophagy,GO
ATG14,ORGDB_GOALL,GO:0016236,Autophagy,GO
ATG14,ORGDB_GOALL,GO:0016240,Autophagy,GO
ATG14,ORGDB_GOALL,GO:0016241,Autophagy,GO
ATG14,ORGDB_GOALL,GO:0097352,Autophagy,GO
ATG14,ORGDB_GOALL,GO:1905037,Autophagy,GO
ATG14,MSIGDB_C2_CP:REACTOME,REACTOME_AUTOPHAGY,Autophagy,REACTOME
ATG16L1,ORGDB_GOALL,GO:0006914,Autophagy,GO
ATG16L1,ORGDB_GOALL,GO:0000045,Autophagy,GO
ATG16L1,ORGDB_GOALL,GO:0010506,Autophagy,GO
ATG16L1,ORGDB_GOALL,GO:0010508,Autophagy,GO
ATG16L1,ORGDB_GOALL,GO:0016236,Autophagy,GO
ATG16L1,ORGDB_GOALL,GO:0016237,Autophagy,GO
ATG16L1,ORGDB_GOALL,GO:0034497,Autophagy,GO
ATG16L1,ORGDB_GOALL,GO:0098792,Autophagy,GO
ATG16L1,ORGDB_GOALL,GO:1905037,Autophagy,GO
ATG16L1,MSIGDB_C2_CP:REACTOME,REACTOME_AUTOPHAGY,Autophagy,REACTOME
ATG16L2,ORGDB_GOALL,GO:0006914,Autophagy,GO
ATG16L2,ORGDB_GOALL,GO:0000045,Autophagy,GO
ATG16L2,ORGDB_GOALL,GO:0016236,Autophagy,GO
ATG16L2,ORGDB_GOALL,GO:1905037,Autophagy,GO
ATG16L2,MSIGDB_C2_CP:REACTOME,REACTOME_AUTOPHAGY,Autophagy,REACTOME
ATG2A,ORGDB_GOALL,GO:0006914,Autophagy,GO
ATG2A,ORGDB_GOALL,GO:0000045,Autophagy,GO
ATG2A,ORGDB_GOALL,GO:0000422,Autophagy,GO
